,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
3324,600020.SH,20070817,4.8215,4.8895,4.735,4.7535,4.8339,-0.08040000000000003,-1.6633,159341.48,123819.493
3325,600020.SH,20070816,4.7597,4.9143,4.6979,4.8339,4.8215,0.012399999999999524,0.2572,174831.89,136063.37900000002
3326,600020.SH,20070815,4.9081,4.9637,4.6732,4.8215,4.9081,-0.08659999999999979,-1.7644,235538.39,183116.88600000003
3327,600020.SH,20070814,4.9699,5.0441,4.871,4.9081,4.9081,0.0,0.0,324735.89,260330.84600000002
3328,600020.SH,20070813,4.6856,5.007,4.6856,4.9081,4.6917,0.21640000000000012,4.6124,520386.42,412749.78799999994
3329,600020.SH,20070810,4.7721,4.8586,4.5866,4.6917,4.803,-0.11129999999999997,-2.3173,218831.22,167351.91
3330,600020.SH,20070809,4.7103,4.8092,4.6856,4.803,4.7474,0.055600000000000094,1.1712,223549.11,171786.88600000003
3331,600020.SH,20070808,4.8215,4.8339,4.6237,4.7474,4.8277,-0.08030000000000026,-1.6633,245617.44,187611.277
3332,600020.SH,20070807,4.9514,4.9823,4.8092,4.8277,4.9204,-0.09269999999999977,-1.8840000000000001,275942.23,217466.797
3333,600020.SH,20070806,4.7906,4.9452,4.7906,4.9204,4.6917,0.2286999999999999,4.8746,572102.26,452547.846
3334,600020.SH,20070803,4.5743,4.7474,4.4136,4.6917,4.5372,0.15449999999999964,3.4052,342758.9,253924.56
3335,600020.SH,20070802,4.463,4.6299,4.395,4.5372,4.463,0.07420000000000028,1.6626,203209.31,148198.968
3336,600020.SH,20070801,4.8339,4.8648,4.4383,4.463,4.8154,-0.3524000000000003,-7.3182,300538.72,225218.455
3337,600020.SH,20070731,4.7845,4.9081,4.735,4.8154,4.7845,0.030899999999999924,0.6458,241100.22,187985.535
3338,600020.SH,20070730,4.7165,4.8215,4.6423,4.7845,4.735,0.0495000000000001,1.0454,337366.38,259895.544
3339,600020.SH,20070727,4.735,4.803,4.5619,4.735,4.735,0.0,0.0,255787.4,195301.785
3340,600020.SH,20070726,4.6114,4.7968,4.6114,4.735,4.5187,0.2163000000000004,4.7868,327222.49,249972.613
3341,600020.SH,20070725,4.3888,4.531000000000001,4.3518,4.5187,4.395,0.12370000000000035,2.8146,228461.82,164020.413
3342,600020.SH,20070724,4.4816,4.5063,4.3888,4.395,4.4568,-0.061800000000000736,-1.3866,220806.77,159036.99800000002
3343,600020.SH,20070723,4.2528,4.4816,4.2528,4.4568,4.2467,0.21010000000000065,4.9474,247109.6,175469.28699999998
3344,600020.SH,20070720,4.0612,4.3208,4.0427,4.2467,4.055,0.1917,4.7275,208146.09,141663.239
3345,600020.SH,20070719,4.0612,4.0798,4.0056,4.055,4.0303,0.02469999999999928,0.6129,56834.82,37144.281
3346,600020.SH,20070718,4.018,4.1169,3.9685,4.0303,4.018,0.012300000000000644,0.3061,115378.3,75293.75
3347,600020.SH,20070717,3.95,4.055,3.9129,4.018,3.9685,0.049499999999999655,1.2473,77151.91,49913.8
3348,600020.SH,20070716,4.1601,4.1663,3.95,3.9685,4.1539,-0.1854,-4.4633,97802.76,63706.327000000005
3349,600020.SH,20070713,4.1849,4.191,4.0612,4.1539,4.1849,-0.030999999999999694,-0.7408,76668.98,51066.667
3350,600020.SH,20070712,4.1663,4.2343,4.123,4.1849,4.1539,0.030999999999999694,0.7463,87448.09,59064.357
3351,600020.SH,20070711,4.1539,4.2652,4.0674,4.1539,4.1972,-0.04329999999999945,-1.0316,134768.68,90318.506
3352,600020.SH,20070710,4.395,4.395,4.1354,4.1972,4.4136,-0.21640000000000012,-4.9030000000000005,180821.23,123991.771
3353,600020.SH,20070709,4.4074,4.5001,4.2899,4.4136,4.3827,0.030899999999999924,0.705,255803.93,181042.355
3354,600020.SH,20070706,4.0798,4.4321,3.9561,4.3827,4.1478,0.2348999999999997,5.6632,214308.69,146185.494
3355,600020.SH,20070705,4.5001,4.5619,4.1478,4.1478,4.6052,-0.4573999999999998,-9.9323,129014.33,89890.58
3356,600020.SH,20070704,4.7005,4.7533,4.5843,4.6054,4.6741,-0.06869999999999976,-1.4698,161166.42,143051.77
3357,600020.SH,20070703,4.7374,4.7691,4.5262,4.6741,4.7269,-0.05279999999999952,-1.117,161487.34,142845.44400000002
3358,600020.SH,20070702,4.7586,4.8325,4.3836,4.7269,4.7163,0.010599999999999277,0.2248,225747.7,197825.07
3359,600020.SH,20070629,4.6899,4.8431,4.4998,4.7163,4.7797,-0.06339999999999968,-1.3264,286050.93,253517.12600000002
3360,600020.SH,20070628,5.255,5.2814,4.7797,4.7797,5.3131,-0.5334000000000003,-10.0393,325534.07,308761.467
3361,600020.SH,20070627,5.0438,5.3870000000000005,4.9751,5.3131,5.122999999999999,0.19010000000000016,3.7107,374840.65,369317.135
3362,600020.SH,20070626,4.9064,5.1758,4.7638,5.122999999999999,4.7321,0.39090000000000025,8.2606,382346.12,363563.35799999995
3363,600020.SH,20070625,5.1388,5.2709,4.6107,4.7321,5.122999999999999,-0.39090000000000025,-7.6303,289427.5,268731.795
3364,600020.SH,20070622,5.5561,5.6194,4.9645,5.122999999999999,5.5138,-0.3907999999999996,-7.0877,404546.52,401841.427
3365,600020.SH,20070621,5.2392,5.5244,5.2392,5.5138,5.2867,0.2271000000000001,4.2957,446029.5,455932.74100000004
3366,600020.SH,20070620,5.5613,5.6881,5.2709,5.2867,5.5877,-0.30100000000000016,-5.3868,433801.13,451069.20399999997
3367,600020.SH,20070619,5.3237,5.5983,5.2392,5.5877,5.3237,0.26400000000000023,4.959,541622.05,561256.287
3368,600020.SH,20070618,5.3078,5.4135,5.2709,5.3237,5.1388,0.18489999999999984,3.5981,497086.28,503624.37700000004
3369,600020.SH,20070615,5.0068,5.1547,4.9328,5.1388,5.0913,0.04749999999999943,0.9329999999999999,298767.37,285457.543
3370,600020.SH,20070614,5.3025,5.3501,5.0807,5.0913,5.292000000000001,-0.20069999999999946,-3.7925,353549.85,349279.16299999994
3371,600020.SH,20070613,5.1494,5.3765,5.0702,5.292000000000001,5.1283,0.1636999999999995,3.1921,508319.38,502543.86799999996
3372,600020.SH,20070612,4.9012,5.1705,4.7005,5.1283,4.8431,0.28520000000000056,5.8888,448988.4,419555.774
3373,600020.SH,20070611,4.8431,4.9117,4.7638,4.8431,4.7744,0.06869999999999976,1.4389,317056.2,289208.97
3374,600020.SH,20070608,4.5948,4.8325,4.5579,4.7744,4.5579,0.21649999999999991,4.75,498053.94,447671.964
3375,600020.SH,20070607,4.4047,4.5631,4.3677,4.5579,4.4047,0.1532,3.4781,321864.84,273600.167
3376,600020.SH,20070606,4.373,4.4839,4.1618,4.4047,4.373,0.03169999999999984,0.7249,459717.41,381203.175
3377,600020.SH,20070605,3.9452,4.3836,3.697,4.373,4.1037,0.2693000000000003,6.5624,544209.05,412797.664
3378,600020.SH,20070604,4.5948,4.6952,4.1037,4.1037,4.5579,-0.4542000000000002,-9.9651,439797.62,356944.82200000004
